共 1295 个谜题，并行 CPU核数 线程

[ 90/1295] PASS 0174.json            via=rust         steps=0      time=   48ms
[ 91/1295] PASS 0178.json            via=rust         steps=0      time=   64ms
[ 92/1295] PASS 0136.json            via=rust         steps=0      time=   58ms
[ 93/1295] PASS 0331.json            via=rust         steps=0      time=  243ms
[ 94/1295] PASS 0173.json            via=rust         steps=0      time=   60ms
[ 95/1295] PASS 0227.json            via=rust         steps=0      time=   70ms
[ 96/1295] PASS 0226.json            via=rust         steps=0      time=   81ms
[ 97/1295] PASS 0177.json            via=rust         steps=0      time=   77ms
[ 98/1295] PASS 0225.json            via=rust         steps=0      time=   87ms
[ 99/1295] PASS 0329.json            via=rust         steps=0      time=  294ms
[100/1295] PASS 0248.json            via=rust         steps=0      time=   32ms
[101/1295] PASS 0250.json            via=rust         steps=0      time=   28ms
[102/1295] PASS 0228.json            via=rust         steps=0      time=   72ms
[103/1295] PASS 0232.json            via=rust         steps=0      time=   43ms
[104/1295] PASS 0259.json            via=rust         steps=0      time=   45ms
[105/1295] PASS 0247.json            via=rust         steps=0      time=   37ms
[106/1295] PASS 0230.json            via=rust         steps=0      time=   93ms
[107/1295] PASS 0249.json            via=rust         steps=0      time=   62ms
[108/1295] PASS 0253.json            via=rust         steps=0      time=   38ms
[109/1295] PASS 0535.json            via=rust         steps=0      time=   65ms
[110/1295] PASS 0229.json            via=rust         steps=0      time=  123ms
[111/1295] PASS 0695.json            via=rust         steps=0      time=   39ms
[112/1295] PASS 0861.json            via=rust         steps=0      time=   42ms
[113/1295] PASS 0881.json            via=rust         steps=0      time=   44ms
[114/1295] PASS 0880.json            via=rust         steps=0      time=   55ms
[115/1295] PASS 0881g.json           via=rust         steps=0      time=   40ms
[116/1295] PASS 0783.json            via=rust         steps=0      time=   47ms
[117/1295] PASS 0784.json            via=rust         steps=0      time=   77ms
[118/1295] PASS 1036.json            via=rust         steps=0      time=   71ms
[119/1295] PASS 1037.json            via=rust         steps=0      time=   62ms
[120/1295] PASS 1096.json            via=rust         steps=0      time=   45ms
[121/1295] PASS 1030.json            via=rust         steps=0      time=   59ms
[122/1295] PASS 1125.json            via=rust         steps=0      time=   32ms
[123/1295] PASS 0538.json            via=rust         steps=0      time=  160ms
[124/1295] PASS 1172.json            via=rust         steps=0      time=   23ms
[125/1295] PASS 1168.json            via=rust         steps=0      time=   19ms
[126/1295] PASS 1170b.json           via=rust         steps=0      time=   26ms
[127/1295] PASS 0252.json            via=rust         steps=0      time=  189ms
[128/1295] PASS 1097.json            via=rust         steps=0      time=   85ms
[129/1295] PASS 1171.json            via=rust         steps=0      time=   71ms
[130/1295] PASS 1250.json            via=rust         steps=0      time=   60ms
[131/1295] PASS 1269.json            via=rust         steps=0      time=   76ms
[132/1295] PASS 0052.json            via=rust         steps=0      time=   31ms
[133/1295] PASS 0051.json            via=rust         steps=0      time=   30ms
[134/1295] PASS 0115.json            via=rust         steps=0      time=   31ms
[135/1295] PASS 0057.json            via=rust         steps=0      time=   27ms
[136/1295] PASS 0059.json            via=rust         steps=0      time=   39ms
[137/1295] PASS 0058.json            via=rust         steps=0      time=   26ms
[138/1295] PASS 0422.json            via=rust         steps=0      time=   32ms
[139/1295] PASS 0072.json            via=rust         steps=0      time=   40ms
[140/1295] PASS 0425.json            via=rust         steps=0      time=   32ms
[141/1295] PASS 0426.json            via=rust         steps=0      time=   20ms
[142/1295] PASS 0042.json            via=rust         steps=0      time=   26ms
[143/1295] PASS 0095.json            via=rust         steps=0      time=   16ms
[144/1295] PASS 0693b.json           via=rust         steps=0      time=   21ms
