baseline: 1187 run, 71 skipped (--skip-slow)
[  82/1187] PASS Zone1    0178.json                via=same-tiling:exhausted→aog:success      0ms
[  83/1187] PASS Zone1    0225.json                via=same-tiling:success           2ms
[  84/1187] PASS Zone1    0226.json                via=same-tiling:success           0ms
[  85/1187] PASS Zone1    0227.json                via=same-tiling:exhausted→aog:success      0ms
[  86/1187] PASS Zone1    0228.json                via=aog:success                  19ms
[  87/1187] PASS Zone1    0331.json                via=same-tiling:exhausted→aog:success    210ms
[  88/1187] PASS Zone1    0229.json                via=same-tiling:exhausted→aog:success     31ms
[  89/1187] PASS Zone1    0230.json                via=aog:success                  20ms
[  90/1187] PASS Zone1    0232.json                via=same-tiling:exhausted→aog:success      7ms
[  91/1187] PASS Zone1    0247.json                via=same-tiling:exhausted→aog:success      5ms
[  92/1187] PASS Zone1    0248.json                via=aog:success                   1ms
[  93/1187] PASS Zone1    0249.json                via=same-tiling:exhausted→aog:success     48ms
[  94/1187] PASS Zone1    0250.json                via=same-tiling:exhausted→aog:success      6ms
[  95/1187] PASS Zone1    0046.json                via=same-tiling:exhausted→aog:success    280ms
[  96/1187] PASS Zone1    0253.json                via=same-tiling:exhausted→aog:success     13ms
[  97/1187] PASS Zone1    0252.json                via=same-tiling:exhausted→aog:success    120ms
[  98/1187] PASS Zone1    0535.json                via=same-tiling:exhausted→aog:success     15ms
[  99/1187] PASS Zone1    0538.json                via=same-tiling:exhausted→aog:success     77ms
[ 100/1187] PASS Zone1    0695.json                via=same-tiling:exhausted→aog:success      1ms
[ 101/1187] PASS Zone1    0732.json                via=same-tiling:success           0ms
[ 102/1187] PASS Zone1    0783.json                via=same-tiling:exhausted→aog:success      0ms
[ 103/1187] PASS Zone1    0784.json                via=same-tiling:exhausted→aog:success     20ms
[ 104/1187] PASS Zone1    0861.json                via=same-tiling:exhausted→aog:success     19ms
[ 105/1187] PASS Zone1    0880.json                via=same-tiling:exhausted→aog:success      2ms
[ 106/1187] PASS Zone1    0881.json                via=same-tiling:exhausted→aog:success      7ms
[ 107/1187] PASS Zone1    0881g.json               via=same-tiling:exhausted→aog:success      1ms
[ 108/1187] PASS Zone1    1030.json                via=aog:success                   0ms
[ 109/1187] PASS Zone1    1036.json                via=aog:success                   0ms
[ 110/1187] PASS Zone1    1037.json                via=same-tiling:exhausted→aog:success      0ms
[ 111/1187] PASS Zone1    1096.json                via=same-tiling:success           0ms
[ 112/1187] PASS Zone1    1097.json                via=same-tiling:exhausted→aog:success      1ms
[ 113/1187] PASS Zone1    1098.json                via=same-tiling:success         303ms
[ 114/1187] PASS Zone1    1099.json                via=same-tiling:success         222ms
[ 115/1187] PASS Zone1    0259.json                via=same-tiling:exhausted→aog:success   1163ms
[ 116/1187] PASS Zone1    1125.json                via=same-tiling:exhausted→aog:success      3ms
[ 117/1187] PASS Zone1    1168.json                via=aog:success                   0ms
[ 118/1187] PASS Zone1    1170b.json               via=same-tiling:exhausted→aog:success      1ms
[ 119/1187] PASS Zone1    1171.json                via=same-tiling:exhausted→aog:success      5ms
[ 120/1187] PASS Zone1    1172.json                via=same-tiling:exhausted→aog:success      0ms
[ 121/1187] PASS Zone1    1250.json                via=same-tiling:exhausted→aog:success      2ms
[ 122/1187] PASS Zone1    1269.json                via=same-tiling:exhausted→aog:success      0ms
[ 123/1187] PASS Zone1    1270.json                via=same-tiling:success           1ms
[ 124/1187] PASS Zone1    0051.json                via=aog:success                   0ms
[ 125/1187] PASS Zone1    0052.json                via=aog:success                   0ms
[ 126/1187] PASS Zone1    0057.json                via=aog:success                   0ms
[ 127/1187] PASS Zone1    0058.json                via=aog:success                   0ms
[ 128/1187] PASS Zone1    0059.json                via=aog:success                   0ms
[ 129/1187] PASS Zone1    0072.json                via=same-tiling:exhausted→aog:success      0ms
[ 130/1187] PASS Zone1    0115.json                via=same-tiling:exhausted→aog:success      0ms
[ 131/1187] PASS Zone1    0422.json                via=same-tiling:exhausted→aog:success      0ms
[ 132/1187] PASS Zone1    0425.json                via=aog:success                   3ms
[ 133/1187] PASS Zone1    0426.json                via=aog:success                   0ms
[ 134/1187] PASS Zone1    1393.json                via=aog:success                  12ms
[ 135/1187] PASS Zone1    0042.json                via=same-tiling:exhausted→aog:success      0ms
[ 136/1187] PASS Zone1    0043.json                via=same-tiling:exhausted→aog:success      0ms
[ 137/1187] PASS Zone1    0095.json                via=same-tiling:exhausted→aog:success      0ms
[ 138/1187] PASS Zone1    0096.json                via=same-tiling:exhausted→aog:success      0ms
[ 139/1187] PASS Zone1    0101.json                via=same-tiling:exhausted→aog:success      0ms
[ 140/1187] PASS Zone1    0693b.json               via=same-tiling:exhausted→aog:success      0ms
